Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GRMO,F1,5.46,68178.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F5,3.51,239237178.62,51580.72,174.12,31.96,29.59,28.99,28.97,28.97,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96
GRMO,F6,3.4,69622.22,119.85,28.71,7.98,7.27,6.97,6.94,6.92,6.88,6.87,6.87,6.87,6.86,6.85,6.81,6.81,6.81,6.79,6.78,6.77,6.77,6.75,6.74,6.74,6.74,6.73,6.71,6.71,6.71,6.7,6.7,6.69,6.69,6.68,6.68,6.67,6.67,6.66,6.65,6.65,6.65,6.64,6.64,6.63,6.62,6.62,6.62,6.61,6.6,6.6
GRMO,F7,3.24,136.21,0.35,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F8,3.29,-2067.62,-2195.33,-2535.69,-2535.69,-2535.69,-2537.6,-2546.01,-2894.61,-2960.0,-2993.45,-2993.45,-3209.62,-3215.82,-3215.82,-3215.82,-3215.82,-3215.82,-3215.82,-3215.82,-3215.82,-3215.82,-3576.39,-3576.39,-3576.39,-3576.39,-3576.39,-3576.39,-3576.39,-3576.39,-3576.39,-3578.86,-3578.86,-3578.86,-3578.86,-3597.18,-3686.17,-3720.9,-3720.9,-3721.79,-3721.79,-3721.79,-3721.79,-3721.79,-3721.79,-3721.79,-3721.79,-3840.41,-3840.41,-3840.41,-3840.41
GRMO,F9,3.25,435.59,84.63,11.8,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F10,3.45,20.55,3.82,0.87,0.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F11,3.66,597.06,9.03,0.78,0.33,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F12,3.95,696032901.06,9.61,1.45,1.12,1.07,1.06,1.05,1.05,1.03,1.01,1.01,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94
GRMO,F13,3.99,1052901907.69,5.95,3.92,3.57,3.14,3.03,3.0,3.0,3.0,3.0,3.0,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99
