Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HHO,F1,5.03,62629.48,2440.48,1180.27,172.64,131.84,35.69,8.97,8.97,5.19,2.64,0.85,0.25,0.25,0.2,0.2,0.14,0.14,0.09,0.08,0.08,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F2,5.82,1288619675845.56,19.4,14.85,11.28,8.09,2.67,1.36,0.99,0.9,0.67,0.67,0.39,0.35,0.35,0.25,0.19,0.19,0.19,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F3,12.35,197785.61,10428.62,6126.25,3574.79,2423.55,1432.85,566.13,448.07,115.17,115.17,98.06,71.36,30.79,20.7,8.74,4.12,3.11,3.11,3.07,3.07,3.07,2.92,2.92,2.0,2.0,1.57,1.52,1.52,1.41,0.58,0.53,0.53,0.53,0.36,0.36,0.36,0.36,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.08,0.06,0.05,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F4,3.96,88.39,11.61,10.6,6.9,1.89,1.89,0.34,0.3,0.29,0.29,0.29,0.25,0.17,0.15,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F5,5.08,248775879.68,583481.75,130405.15,12037.31,5978.62,2330.61,170.82,119.74,69.0,38.56,27.65,21.9,20.42,13.91,5.37,2.4,2.4,1.33,1.33,1.33,0.5,0.5,0.5,0.5,0.5,0.42,0.32,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F6,4.63,63575.74,1500.48,576.02,45.37,40.34,22.85,22.85,22.85,11.35,10.54,7.7,0.88,0.86,0.86,0.23,0.22,0.2,0.12,0.12,0.12,0.08,0.08,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F7,5.25,127.77,0.55,0.39,0.1,0.1,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F8,4.78,-2434.21,-3287.6,-3873.34,-4124.5,-4629.12,-4749.91,-6768.6,-7630.82,-9644.6,-10076.76,-10177.86,-10431.57,-10431.57,-10685.98,-10896.1,-11375.65,-11750.95,-12016.41,-12373.36,-12381.32,-12400.03,-12400.03,-12402.5,-12515.97,-12517.26,-12517.26,-12533.51,-12538.7,-12538.7,-12538.7,-12538.7,-12541.39,-12550.93,-12550.93,-12558.95,-12561.66,-12561.92,-12561.92,-12561.92,-12561.92,-12561.92,-12561.92,-12564.76,-12564.76,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12565.29,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.6,-12568.64,-12568.64,-12568.64,-12568.64,-12568.64,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04,-12569.04
HHO,F9,4.82,435.13,254.81,179.55,142.46,82.39,55.16,28.88,23.64,21.08,18.01,8.07,6.0,1.39,0.49,0.49,0.37,0.37,0.18,0.18,0.15,0.15,0.13,0.13,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F10,5.64,20.59,9.39,9.23,8.39,4.5,3.59,2.22,1.73,1.73,1.73,1.46,1.24,1.17,0.93,0.4,0.36,0.36,0.36,0.18,0.18,0.18,0.17,0.17,0.12,0.1,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
